sensor_id,timestamp_recorded_utc,no2_ppb,pm25_ugm3,temp_c,rh_pct,firmware,status,no2_ugm3
ZEPHYR_001,2025-06-17 22:00:00+00:00,24.54,8.86,13.77,64.69,1.4.2,WARN,47.95
ZEPHYR_001,2025-06-17 23:00:00+00:00,19.88,13.22,13.83,80.01,1.4.2,OK,38.84
ZEPHYR_001,2025-06-18 00:00:00+00:00,22.26,9.05,12.69,60.02,1.4.2,OK,43.66
ZEPHYR_001,2025-06-18 01:00:00+00:00,23.62,9.57,12.01,72.25,1.4.2,OK,46.44
ZEPHYR_001,2025-06-18 02:00:00+00:00,23.46,7.27,12.11,69.5,1.4.2,OK,46.11
ZEPHYR_001,2025-06-18 03:00:00+00:00,26.44,7.67,13.62,83.13,1.4.2,OK,51.69
ZEPHYR_001,2025-06-18 04:00:00+00:00,29.41,9.4,13.69,78.93,1.4.2,OK,57.48
ZEPHYR_001,2025-06-18 05:00:00+00:00,31.74,8.12,14.21,76.52,1.4.2,OK,61.93
ZEPHYR_001,2025-06-18 06:00:00+00:00,27.83,9.07,15.48,73.83,1.4.2,OK,54.06
ZEPHYR_001,2025-06-18 07:00:00+00:00,31.95,6.0,15.73,79.66,1.4.2,MAINT,62.01
ZEPHYR_001,2025-06-18 08:00:00+00:00,31.7,0.3,17.2,59.61,1.4.2,OK,61.21
ZEPHYR_001,2025-06-18 09:00:00+00:00,40.8,6.7,22.65,57.76,1.4.2,OK,77.33
ZEPHYR_001,2025-06-18 10:00:00+00:00,31.57,7.21,23.41,38.55,1.4.2,OK,59.68
ZEPHYR_001,2025-06-18 11:00:00+00:00,28.52,3.27,22.31,45.47,1.4.2,OK,54.12
ZEPHYR_001,2025-06-18 12:00:00+00:00,35.72,7.36,22.2,37.26,1.4.2,OK,67.81
ZEPHYR_001,2025-06-18 13:00:00+00:00,29.95,7.93,25.55,36.51,1.4.2,OK,56.22
ZEPHYR_001,2025-06-18 14:00:00+00:00,25.47,9.05,21.88,42.96,1.4.2,OK,48.4
ZEPHYR_001,2025-06-18 15:00:00+00:00,30.08,7.82,21.44,31.89,1.4.2,OK,57.25
ZEPHYR_001,2025-06-18 16:00:00+00:00,29.59,12.06,23.01,43.5,1.4.2,OK,56.02
ZEPHYR_001,2025-06-18 17:00:00+00:00,21.02,12.62,22.26,55.4,1.4.2,MAINT,39.89
ZEPHYR_001,2025-06-18 18:00:00+00:00,22.6,10.65,20.33,48.24,1.4.2,OK,43.17
ZEPHYR_001,2025-06-18 19:00:00+00:00,22.67,11.3,18.93,43.51,1.4.2,OK,43.52
ZEPHYR_001,2025-06-18 20:00:00+00:00,17.28,10.25,17.53,56.35,1.4.2,WARN,33.33
ZEPHYR_001,2025-06-18 21:00:00+00:00,16.52,11.34,16.53,66.65,1.4.2,OK,31.97
ZEPHYR_001,2025-06-18 22:00:00+00:00,14.73,9.07,15.19,53.59,1.4.2,OK,28.64
ZEPHYR_001,2025-06-18 23:00:00+00:00,13.86,10.68,12.85,69.06,1.4.2,OK,27.17
ZEPHYR_001,2025-06-19 00:00:00+00:00,17.79,8.89,9.75,84.38,1.4.2,OK,35.26
ZEPHYR_001,2025-06-19 01:00:00+00:00,20.56,5.35,12.0,85.7,1.4.2,OK,40.42
ZEPHYR_001,2025-06-19 02:00:00+00:00,21.37,7.1,11.15,81.02,1.4.2,OK,42.14
ZEPHYR_001,2025-06-19 03:00:00+00:00,17.55,10.02,10.47,97.56,1.4.2,OK,34.69
ZEPHYR_001,2025-06-19 04:00:00+00:00,23.64,12.19,10.96,79.56,1.4.2,OK,46.65
ZEPHYR_001,2025-06-19 05:00:00+00:00,22.97,9.1,13.3,80.74,1.4.2,OK,44.96
ZEPHYR_001,2025-06-19 06:00:00+00:00,25.47,10.45,16.15,93.14,1.4.2,OK,49.36
ZEPHYR_001,2025-06-19 07:00:00+00:00,31.31,13.65,14.95,66.35,1.4.2,OK,60.93
ZEPHYR_001,2025-06-19 08:00:00+00:00,36.29,9.74,19.18,55.31,1.4.2,OK,69.6
ZEPHYR_001,2025-06-19 09:00:00+00:00,23.49,9.67,18.78,56.94,1.4.2,OK,45.11
ZEPHYR_001,2025-06-19 10:00:00+00:00,26.69,4.09,21.26,56.98,1.4.2,OK,50.83
ZEPHYR_001,2025-06-19 11:00:00+00:00,27.4,10.55,23.92,47.52,1.4.2,OK,51.71
ZEPHYR_001,2025-06-19 12:00:00+00:00,27.08,8.07,24.68,33.16,1.4.2,OK,50.98
ZEPHYR_001,2025-06-19 13:00:00+00:00,31.1,8.33,25.44,53.92,1.4.2,OK,58.4
ZEPHYR_001,2025-06-19 14:00:00+00:00,25.23,6.21,24.26,44.14,1.4.2,OK,47.56
ZEPHYR_001,2025-06-19 15:00:00+00:00,24.59,12.7,22.69,33.61,1.4.2,OK,46.6
ZEPHYR_001,2025-06-19 16:00:00+00:00,16.43,9.61,22.88,49.16,1.4.2,OK,31.12
ZEPHYR_001,2025-06-19 17:00:00+00:00,22.18,13.37,21.21,46.0,1.4.2,OK,42.24
ZEPHYR_001,2025-06-19 18:00:00+00:00,22.58,7.14,19.13,45.8,1.4.2,WARN,43.31
ZEPHYR_001,2025-06-19 19:00:00+00:00,18.42,15.11,17.93,57.61,1.4.2,OK,35.48
ZEPHYR_001,2025-06-19 20:00:00+00:00,23.61,9.96,17.8,48.42,1.4.2,OK,45.5
ZEPHYR_001,2025-06-19 21:00:00+00:00,16.09,8.9,16.47,71.49,1.4.2,OK,31.15
ZEPHYR_001,2025-06-19 22:00:00+00:00,20.45,7.56,17.23,84.57,1.4.2,OK,39.48
ZEPHYR_001,2025-06-19 23:00:00+00:00,14.88,9.83,16.52,73.48,1.4.2,OK,28.8
ZEPHYR_001,2025-06-20 00:00:00+00:00,15.62,6.88,11.24,70.23,1.4.2,OK,30.79
ZEPHYR_001,2025-06-20 01:00:00+00:00,14.6,6.78,11.99,75.42,1.4.2,OK,28.71
ZEPHYR_001,2025-06-20 02:00:00+00:00,22.81,8.62,10.63,73.31,1.4.2,OK,45.06
ZEPHYR_001,2025-06-20 03:00:00+00:00,24.65,11.66,12.7,72.82,1.4.2,OK,48.35
ZEPHYR_001,2025-06-20 04:00:00+00:00,28.11,11.96,13.3,76.66,1.4.2,OK,55.02
ZEPHYR_001,2025-06-20 05:00:00+00:00,20.37,7.15,15.23,84.17,1.4.2,OK,39.6
ZEPHYR_001,2025-06-20 06:00:00+00:00,31.97,8.47,13.73,55.84,1.4.2,OK,62.48
ZEPHYR_001,2025-06-20 07:00:00+00:00,22.39,8.03,17.15,73.86,1.4.2,OK,43.24
ZEPHYR_001,2025-06-20 08:00:00+00:00,29.43,9.96,16.24,58.47,1.4.2,OK,57.02
ZEPHYR_001,2025-06-20 09:00:00+00:00,26.96,10.22,20.17,60.57,1.4.2,OK,51.53
ZEPHYR_001,2025-06-20 10:00:00+00:00,27.98,7.6,22.07,43.62,1.4.2,MAINT,53.14
ZEPHYR_001,2025-06-20 11:00:00+00:00,32.17,12.96,22.19,49.35,1.4.2,OK,61.07
ZEPHYR_001,2025-06-20 12:00:00+00:00,26.4,9.6,21.62,52.42,1.4.2,OK,50.21
ZEPHYR_001,2025-06-20 13:00:00+00:00,26.01,10.21,23.68,50.17,1.4.2,OK,49.13
ZEPHYR_001,2025-06-20 14:00:00+00:00,23.46,9.95,21.28,26.67,1.4.2,OK,44.67
ZEPHYR_001,2025-06-20 15:00:00+00:00,30.82,10.52,21.62,47.2,1.4.2,OK,58.62
ZEPHYR_001,2025-06-20 16:00:00+00:00,26.46,13.77,25.21,47.72,1.4.2,OK,49.72
ZEPHYR_001,2025-06-20 17:00:00+00:00,22.16,11.67,19.93,32.6,1.4.2,OK,42.39
ZEPHYR_001,2025-06-20 18:00:00+00:00,19.86,9.72,18.34,53.52,1.4.2,OK,38.2
ZEPHYR_001,2025-06-20 19:00:00+00:00,22.41,9.95,22.16,60.21,1.4.2,OK,42.55
ZEPHYR_001,2025-06-20 20:00:00+00:00,17.46,9.22,21.1,63.15,1.4.2,OK,33.27
ZEPHYR_001,2025-06-20 21:00:00+00:00,23.88,11.74,14.36,65.09,1.4.2,MAINT,46.57
ZEPHYR_001,2025-06-20 22:00:00+00:00,22.09,9.4,14.53,62.95,1.4.2,WARN,43.05
ZEPHYR_001,2025-06-20 23:00:00+00:00,11.71,8.18,14.07,84.27,1.4.2,OK,22.86
ZEPHYR_001,2025-06-21 00:00:00+00:00,19.7,8.51,14.79,82.58,1.4.2,OK,38.36
ZEPHYR_001,2025-06-21 01:00:00+00:00,19.41,9.14,11.31,56.78,1.4.2,OK,38.26
ZEPHYR_001,2025-06-21 02:00:00+00:00,17.4,8.54,11.81,77.9,1.4.2,OK,34.23
ZEPHYR_001,2025-06-21 03:00:00+00:00,27.97,7.19,13.71,80.31,1.4.2,OK,54.67
ZEPHYR_001,2025-06-21 04:00:00+00:00,20.91,9.5,14.08,67.95,1.4.2,OK,40.81
ZEPHYR_001,2025-06-21 05:00:00+00:00,22.87,10.08,13.82,75.47,1.4.2,OK,44.68
ZEPHYR_001,2025-06-21 06:00:00+00:00,25.13,8.6,15.21,87.64,1.4.2,OK,48.86
ZEPHYR_001,2025-06-21 07:00:00+00:00,24.3,5.81,16.27,58.09,1.4.2,OK,47.07
ZEPHYR_001,2025-06-21 08:00:00+00:00,25.93,9.23,17.99,59.7,1.4.2,OK,49.93
ZEPHYR_001,2025-06-21 09:00:00+00:00,34.64,8.69,20.0,46.72,1.4.2,OK,66.25
ZEPHYR_001,2025-06-21 10:00:00+00:00,26.97,12.63,22.01,44.33,1.4.2,OK,51.23
ZEPHYR_001,2025-06-21 11:00:00+00:00,22.91,8.07,21.59,60.14,1.4.2,WARN,43.58
ZEPHYR_001,2025-06-21 12:00:00+00:00,26.29,10.67,23.54,35.99,1.4.2,OK,49.68
ZEPHYR_001,2025-06-21 13:00:00+00:00,27.45,7.99,24.92,43.75,1.4.2,OK,51.63
ZEPHYR_001,2025-06-21 14:00:00+00:00,21.05,11.07,23.86,24.57,1.4.2,OK,39.73
ZEPHYR_001,2025-06-21 15:00:00+00:00,18.47,9.55,23.18,54.02,1.4.2,OK,34.94
ZEPHYR_001,2025-06-21 16:00:00+00:00,33.24,9.82,22.56,49.48,1.4.2,OK,63.02
ZEPHYR_001,2025-06-21 17:00:00+00:00,24.91,9.89,21.98,45.67,1.4.2,OK,47.32
ZEPHYR_001,2025-06-21 18:00:00+00:00,15.79,10.43,20.39,57.3,1.4.2,OK,30.16
ZEPHYR_001,2025-06-21 19:00:00+00:00,10.5,8.66,19.71,41.65,1.4.2,OK,20.1
ZEPHYR_001,2025-06-21 20:00:00+00:00,23.82,8.34,15.76,72.13,1.4.2,OK,46.22
ZEPHYR_001,2025-06-21 21:00:00+00:00,16.52,14.17,18.8,57.58,1.4.2,OK,31.72
ZEPHYR_001,2025-06-21 22:00:00+00:00,24.67,12.54,16.08,63.37,1.4.2,WARN,47.82
ZEPHYR_001,2025-06-21 23:00:00+00:00,18.13,6.43,14.11,65.89,1.4.2,OK,35.38
ZEPHYR_001,2025-06-22 00:00:00+00:00,20.97,6.19,11.62,72.21,1.4.2,OK,41.29
ZEPHYR_001,2025-06-22 01:00:00+00:00,22.85,7.46,10.63,88.22,1.4.2,OK,45.14
ZEPHYR_001,2025-06-22 02:00:00+00:00,19.82,7.94,13.4,80.21,1.4.2,OK,38.78
ZEPHYR_001,2025-06-22 03:00:00+00:00,24.87,10.68,12.68,83.33,1.4.2,OK,48.78
ZEPHYR_001,2025-06-22 04:00:00+00:00,21.67,9.41,14.5,77.05,1.4.2,OK,42.24
ZEPHYR_001,2025-06-22 05:00:00+00:00,22.09,6.99,12.07,80.62,1.4.2,OK,43.42
ZEPHYR_001,2025-06-22 06:00:00+00:00,28.69,9.31,17.27,66.03,1.4.2,WARN,55.39
ZEPHYR_001,2025-06-22 07:00:00+00:00,32.31,6.11,18.11,82.32,1.4.2,OK,62.19
ZEPHYR_001,2025-06-22 08:00:00+00:00,29.14,5.48,17.63,44.36,1.4.2,OK,56.18
ZEPHYR_001,2025-06-22 09:00:00+00:00,27.3,8.44,18.46,64.11,1.4.2,OK,52.49
ZEPHYR_001,2025-06-22 10:00:00+00:00,33.6,5.97,22.46,65.3,1.4.2,OK,63.73
ZEPHYR_001,2025-06-22 11:00:00+00:00,30.35,6.54,22.42,39.99,1.4.2,OK,57.57
ZEPHYR_001,2025-06-22 12:00:00+00:00,27.5,6.88,23.54,58.78,1.4.2,OK,51.97
ZEPHYR_001,2025-06-22 13:00:00+00:00,26.7,7.27,23.21,52.62,1.4.2,OK,50.51
ZEPHYR_001,2025-06-22 14:00:00+00:00,26.6,7.21,22.96,46.03,1.4.2,OK,50.36
ZEPHYR_001,2025-06-22 15:00:00+00:00,31.34,12.03,25.0,44.94,1.4.2,OK,58.93
ZEPHYR_001,2025-06-22 16:00:00+00:00,19.81,4.13,24.09,44.7,1.4.2,OK,37.37
ZEPHYR_001,2025-06-22 17:00:00+00:00,25.28,6.84,19.43,43.7,1.4.2,OK,48.44
ZEPHYR_001,2025-06-22 18:00:00+00:00,18.22,9.21,20.28,47.82,1.4.2,OK,34.81
ZEPHYR_001,2025-06-22 19:00:00+00:00,15.71,4.17,18.96,72.0,1.4.2,OK,30.15
ZEPHYR_001,2025-06-22 20:00:00+00:00,24.69,10.34,17.76,61.67,1.4.2,OK,47.58
ZEPHYR_001,2025-06-22 21:00:00+00:00,14.33,6.1,14.68,56.0,1.4.2,OK,27.91
ZEPHYR_001,2025-06-22 22:00:00+00:00,23.57,10.6,12.41,78.64,1.4.2,WARN,46.28
ZEPHYR_001,2025-06-22 23:00:00+00:00,16.7,6.69,13.12,82.94,1.4.2,OK,32.71
ZEPHYR_001,2025-06-23 00:00:00+00:00,14.48,9.27,14.38,86.0,1.4.2,OK,28.23
ZEPHYR_001,2025-06-23 01:00:00+00:00,23.74,14.79,10.8,83.03,1.4.2,OK,46.87
ZEPHYR_001,2025-06-23 02:00:00+00:00,32.05,3.01,13.21,78.77,1.4.2,OK,62.75
ZEPHYR_001,2025-06-23 03:00:00+00:00,28.41,10.21,11.09,68.55,1.4.2,OK,56.04
ZEPHYR_001,2025-06-23 04:00:00+00:00,29.77,8.32,13.55,72.83,1.4.2,OK,58.22
ZEPHYR_001,2025-06-23 05:00:00+00:00,26.68,10.62,12.91,61.64,1.4.2,OK,52.29
ZEPHYR_001,2025-06-23 06:00:00+00:00,32.3,8.95,14.77,73.54,1.4.2,OK,62.9
ZEPHYR_001,2025-06-23 07:00:00+00:00,34.97,8.44,19.01,64.97,1.4.2,OK,67.11
ZEPHYR_001,2025-06-23 08:00:00+00:00,37.98,4.18,19.16,56.67,1.4.2,OK,72.85
ZEPHYR_001,2025-06-23 09:00:00+00:00,24.35,7.81,21.47,29.5,1.4.2,OK,46.34
ZEPHYR_001,2025-06-23 10:00:00+00:00,29.4,6.93,24.0,43.22,1.4.2,OK,55.47
ZEPHYR_001,2025-06-23 11:00:00+00:00,28.38,9.39,23.14,59.98,1.4.2,OK,53.7
ZEPHYR_001,2025-06-23 12:00:00+00:00,23.31,6.42,25.5,36.18,1.4.2,WARN,43.76
ZEPHYR_001,2025-06-23 13:00:00+00:00,30.06,5.49,24.2,45.49,1.4.2,OK,56.68
ZEPHYR_001,2025-06-23 14:00:00+00:00,32.46,10.0,25.68,30.2,1.4.2,OK,60.9
ZEPHYR_001,2025-06-23 15:00:00+00:00,28.6,7.01,22.96,51.99,1.4.2,WARN,54.15
ZEPHYR_001,2025-06-23 16:00:00+00:00,26.66,12.06,22.04,36.49,1.4.2,OK,50.63
ZEPHYR_001,2025-06-23 17:00:00+00:00,24.07,9.9,20.58,43.63,1.4.2,OK,45.94
ZEPHYR_001,2025-06-23 18:00:00+00:00,27.71,6.83,22.48,65.46,1.4.2,OK,52.55
ZEPHYR_001,2025-06-23 19:00:00+00:00,26.14,8.01,18.09,59.63,1.4.2,OK,50.32
ZEPHYR_001,2025-06-23 20:00:00+00:00,21.31,9.67,18.22,60.82,1.4.2,OK,41.0
ZEPHYR_001,2025-06-23 21:00:00+00:00,17.49,11.23,16.5,60.61,1.4.2,OK,33.85
ZEPHYR_001,2025-06-23 22:00:00+00:00,22.78,9.31,16.38,66.48,1.4.2,WARN,44.11
ZEPHYR_001,2025-06-23 23:00:00+00:00,24.36,9.79,14.12,70.97,1.4.2,OK,47.54
ZEPHYR_001,2025-06-24 00:00:00+00:00,20.6,7.99,14.63,70.52,1.4.2,OK,40.13
ZEPHYR_001,2025-06-24 01:00:00+00:00,29.62,8.09,13.16,75.88,1.4.2,OK,58.0
ZEPHYR_001,2025-06-24 02:00:00+00:00,27.65,11.75,9.64,97.63,1.4.2,OK,54.82
ZEPHYR_001,2025-06-24 03:00:00+00:00,29.49,9.38,12.3,76.53,1.4.2,OK,57.92
ZEPHYR_001,2025-06-24 04:00:00+00:00,27.75,8.04,11.89,98.76,1.4.2,OK,54.58
ZEPHYR_001,2025-06-24 05:00:00+00:00,32.55,7.59,12.54,74.08,1.4.2,OK,63.88
ZEPHYR_001,2025-06-24 06:00:00+00:00,30.15,6.76,17.21,85.26,1.4.2,OK,58.22
ZEPHYR_001,2025-06-24 07:00:00+00:00,35.43,4.83,17.59,72.58,1.4.2,WARN,68.32
ZEPHYR_001,2025-06-24 08:00:00+00:00,38.46,7.95,18.35,67.61,1.4.2,OK,73.97
ZEPHYR_001,2025-06-24 09:00:00+00:00,30.34,11.23,17.77,47.87,1.4.2,OK,58.47
ZEPHYR_001,2025-06-24 10:00:00+00:00,29.89,8.18,21.29,48.25,1.4.2,OK,56.91
ZEPHYR_001,2025-06-24 11:00:00+00:00,42.24,9.61,20.87,50.36,1.4.2,OK,80.55
ZEPHYR_001,2025-06-24 12:00:00+00:00,29.91,3.62,23.23,54.35,1.4.2,OK,56.58
ZEPHYR_001,2025-06-24 13:00:00+00:00,31.83,10.06,24.26,39.21,1.4.2,OK,60.0
ZEPHYR_001,2025-06-24 14:00:00+00:00,24.06,9.23,26.44,33.95,1.4.2,OK,45.03
ZEPHYR_001,2025-06-24 15:00:00+00:00,25.92,8.79,24.75,30.4,1.4.2,OK,48.78
ZEPHYR_001,2025-06-24 16:00:00+00:00,27.33,8.9,19.89,32.11,1.4.2,OK,52.29
ZEPHYR_001,2025-06-24 17:00:00+00:00,28.64,9.55,22.33,31.46,1.4.2,OK,54.34
ZEPHYR_001,2025-06-24 18:00:00+00:00,20.99,5.26,20.37,48.55,1.4.2,WARN,40.09
ZEPHYR_001,2025-06-24 19:00:00+00:00,28.41,11.45,20.02,62.91,1.4.2,OK,54.33
ZEPHYR_001,2025-06-24 20:00:00+00:00,19.42,9.65,18.57,57.62,1.4.2,OK,37.32
ZEPHYR_001,2025-06-24 21:00:00+00:00,27.19,8.29,12.94,49.06,1.4.2,OK,53.28
ZEPHYR_001,2025-06-24 22:00:00+00:00,20.05,6.13,14.08,67.04,1.4.2,OK,39.14
ZEPHYR_001,2025-06-24 23:00:00+00:00,22.52,6.84,14.83,67.67,1.4.2,OK,43.84
ZEPHYR_001,2025-06-25 00:00:00+00:00,32.15,12.69,9.33,88.56,1.4.2,OK,63.81
ZEPHYR_001,2025-06-25 01:00:00+00:00,21.55,10.8,14.68,62.22,1.4.2,OK,41.98
ZEPHYR_001,2025-06-25 02:00:00+00:00,19.06,8.99,12.39,78.7,1.4.2,OK,37.42
ZEPHYR_001,2025-06-25 03:00:00+00:00,26.02,5.84,12.26,89.74,1.4.2,OK,51.11
ZEPHYR_001,2025-06-25 04:00:00+00:00,26.49,8.45,10.62,82.27,1.4.2,OK,52.34
ZEPHYR_001,2025-06-25 05:00:00+00:00,21.6,10.34,14.23,79.71,1.4.2,OK,42.14
ZEPHYR_001,2025-06-25 06:00:00+00:00,22.09,9.19,16.78,71.53,1.4.2,OK,42.72
